Code,DerivativesProductCategory,UnderlyingSSO,Date,WholeDayOpen,WholeDayHigh,WholeDayLow,WholeDayClose,MorningSessionOpen,MorningSessionHigh,MorningSessionLow,MorningSessionClose,NightSessionOpen,NightSessionHigh,NightSessionLow,NightSessionClose,DaySessionOpen,DaySessionHigh,DaySessionLow,DaySessionClose,Volume,OpenInterest,TurnoverValue,ContractMonth,StrikePrice,Volume(OnlyAuction),EmergencyMarginTriggerDivision,PutCallDivision,LastTradingDay,SpecialQuotationDay,SettlementPrice,TheoreticalPrice,BaseVolatility,UnderlyingPrice,ImpliedVolatility,InterestRate,CentralContractMonthFlag
138232526,NK225MWE,-,2023-05-29,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-23,32500.0,0.0,002,1,2023-06-08,2023-06-09,1260.0,1320.7257,16.8667,31233.54,1.0,-0.07,1
138230726,NK225MWE,-,2023-05-29,160.0,195.0,160.0,175.0,,,,,,,,,160.0,195.0,160.0,175.0,305.0,2.0,5537500.0,2023-23,30750.0,305.0,002,1,2023-06-08,2023-06-09,170.0,187.3693,16.8667,31233.54,16.8321,-0.07,1
148230726,NK225MWE,-,2023-05-29,825.0,825.0,820.0,820.0,,,,,,,,,825.0,825.0,820.0,820.0,2.0,1.0,164500.0,2023-23,30750.0,2.0,002,2,2023-06-08,2023-06-09,725.0,674.9738,16.8667,31233.54,20.6056,-0.07,1
148231226,NK225MWE,-,2023-05-29,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-23,31250.0,0.0,002,2,2023-06-08,2023-06-09,385.0,356.1219,16.8667,31233.54,18.187,-0.07,1
148232126,NK225MWE,-,2023-05-29,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-23,32125.0,0.0,002,2,2023-06-08,2023-06-09,105.0,94.0439,16.8667,31233.54,18.3955,-0.07,1
148239626,NK225MWE,-,2023-05-29,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-23,29625.0,0.0,002,2,2023-06-08,2023-06-09,1715.0,1653.1118,16.8667,31233.54,28.2623,-0.07,1
138231726,NK225MWE,-,2023-05-29,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-23,31750.0,0.0,002,1,2023-06-08,2023-06-09,650.0,693.7165,16.8667,31233.54,15.0737,-0.07,1
138230826,NK225MWE,-,2023-05-29,185.0,245.0,180.0,210.0,,,,,,,,,185.0,245.0,180.0,210.0,1280.0,0.0,26046500.0,2023-23,30875.0,1280.0,002,1,2023-06-08,2023-06-09,205.0,224.257,16.8667,31233.54,16.5377,-0.07,1
148232226,NK225MWE,-,2023-05-29,130.0,130.0,77.0,77.0,,,,,,,,,130.0,130.0,77.0,77.0,517.0,14.0,5129800.0,2023-23,32250.0,517.0,002,2,2023-06-08,2023-06-09,86.0,75.3487,16.8667,31233.54,18.5548,-0.07,1
138231826,NK225MWE,-,2023-05-29,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-23,31875.0,0.0,002,1,2023-06-08,2023-06-09,730.0,789.0215,16.8667,31233.54,14.1038,-0.07,1
148239326,NK225MWE,-,2023-05-29,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-23,29375.0,0.0,002,2,2023-06-08,2023-06-09,1955.0,1893.4562,16.8667,31233.54,30.4201,-0.07,1
138233326,NK225MWE,-,2023-05-29,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-23,33375.0,0.0,002,1,2023-06-08,2023-06-09,2090.0,2155.7381,16.8667,31233.54,1.0,-0.07,1
138238726,NK225MWE,-,2023-05-29,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-23,28750.0,0.0,002,1,2023-06-08,2023-06-09,18.0,21.848,16.8667,31233.54,26.088,-0.07,1
148238226,NK225MWE,-,2023-05-29,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-23,28250.0,0.0,002,2,2023-06-08,2023-06-09,3065.0,2999.0849,16.8667,31233.54,41.8127,-0.07,1
138230626,NK225MWE,-,2023-05-29,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-23,30625.0,0.0,002,1,2023-06-08,2023-06-09,145.0,155.6472,16.8667,31233.54,17.4012,-0.07,1
148238026,NK225MWE,-,2023-05-29,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-23,28000.0,0.0,002,2,2023-06-08,2023-06-09,3315.0,3246.8265,16.8667,31233.54,44.6256,-0.07,1
138238526,NK225MWE,-,2023-05-29,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-23,28500.0,0.0,002,1,2023-06-08,2023-06-09,15.0,18.4336,16.8667,31233.54,27.4942,-0.07,1
148238526,NK225MWE,-,2023-05-29,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-23,28500.0,0.0,002,2,2023-06-08,2023-06-09,2820.0,2751.3724,16.8667,31233.54,39.5867,-0.07,1
148238126,NK225MWE,-,2023-05-29,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-23,28125.0,0.0,002,2,2023-06-08,2023-06-09,3190.0,3122.9525,16.8667,31233.54,43.2201,-0.07,1
148230826,NK225MWE,-,2023-05-29,565.0,600.0,565.0,585.0,,,,,,,,,565.0,600.0,565.0,585.0,3.0,3.0,175000.0,2023-23,30875.0,3.0,002,2,2023-06-08,2023-06-09,635.0,565.2988,16.8667,31233.54,20.1205,-0.07,1
138230126,NK225MWE,-,2023-05-29,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-23,30125.0,0.0,002,1,2023-06-08,2023-06-09,73.0,76.1865,16.8667,31233.54,19.2454,-0.07,1
138239526,NK225MWE,-,2023-05-29,35.0,42.0,35.0,36.0,,,,,,,,,35.0,42.0,35.0,36.0,312.0,9.0,1154700.0,2023-23,29500.0,312.0,002,1,2023-06-08,2023-06-09,32.0,36.241,16.8667,31233.54,21.6458,-0.07,1
